title,description,content,source,published_at,label,text_combined
"Over 24 shots fired at Elvish Yadav’s Gurugram home, attackers flee the scene","Over 24 shots fired at Elvish Yadav’s Gurugram home, attackers flee the scene","Over 24 shots fired at Elvish Yadav’s Gurugram home, attackers flee the scene",MediaStack,,1,"Over 24 shots fired at Elvish Yadav’s Gurugram home, attackers flee the scene Over 24 shots fired at Elvish Yadav’s Gurugram home, attackers flee the scene"
India monsoon LIVE: Rain lashes parts of Mumbai; four dead in cloudburst in J&K’s Kathua,"Heavy rain triggers cloudbursts and landslips, leading to the closure of Chandigarh-Manali Highway in Mandi in Himachal Pradesh","Heavy rain triggers cloudbursts and landslips, leading to the closure of Chandigarh-Manali Highway in Mandi in Himachal Pradesh",MediaStack,,1,"India monsoon LIVE: Rain lashes parts of Mumbai; four dead in cloudburst in J&K’s Kathua Heavy rain triggers cloudbursts and landslips, leading to the closure of Chandigarh-Manali Highway in Mandi in Himachal Pradesh"
"India had to boycott match against Pakistan in WCL 2025 due to this player, his name is….","India boycotted the WCL 2025 clash against Pakistan, giving a walkover. But do you know which controversial player’s presence forced Team India to take this step?","India boycotted the WCL 2025 clash against Pakistan, giving a walkover. But do you know which controversial player’s presence forced Team India to take this step?",MediaStack,,1,"India had to boycott match against Pakistan in WCL 2025 due to this player, his name is…. India boycotted the WCL 2025 clash against Pakistan, giving a walkover. But do you know which controversial player’s presence forced Team India to take this step?"
"Kathua cloudburst LIVE UPDATES: Four dead, six injured in cloudburst, Officials issue advisory, direct visitors to avoid…",The heavy rains have led to sharp increase in the level in most of the water bodies with the Ujh river flowing near the danger mark,The heavy rains have led to sharp increase in the level in most of the water bodies with the Ujh river flowing near the danger mark,MediaStack,,1,"Kathua cloudburst LIVE UPDATES: Four dead, six injured in cloudburst, Officials issue advisory, direct visitors to avoid… The heavy rains have led to sharp increase in the level in most of the water bodies with the Ujh river flowing near the danger mark"
"Coolie vs War 2 Box Office Collection Day 3: Rajinikanth’s action thriller or Hrithik’s massy actioner, who won the Day 3 battle? Read here",Hrithik Roshan's War 2 and Rajinikanth's Coolie are giving a tough competition to each other. Scroll down to read detailed box office analysis.,Hrithik Roshan's War 2 and Rajinikanth's Coolie are giving a tough competition to each other. Scroll down to read detailed box office analysis.,MediaStack,,1,"Coolie vs War 2 Box Office Collection Day 3: Rajinikanth’s action thriller or Hrithik’s massy actioner, who won the Day 3 battle? Read here Hrithik Roshan's War 2 and Rajinikanth's Coolie are giving a tough competition to each other. Scroll down to read detailed box office analysis."
Morning Digest: U.S. team may defer August 25 India visit for trade pact talks; ECI vows ‘utmost transparency’ in preparing electoral rolls; and more,Here is a select list of stories to start the day,Here is a select list of stories to start the day,MediaStack,,1,Morning Digest: U.S. team may defer August 25 India visit for trade pact talks; ECI vows ‘utmost transparency’ in preparing electoral rolls; and more Here is a select list of stories to start the day
IndiGo's Bangkok-Mumbai flight suffers tail strike,"""On August 16, an IndiGo Airbus A321 aircraft tail touched the runway while executing a low-altitude go-around due to unfavourable weather conditions in Mumbai,"" IndiGo spokesperson said in a statement","""On August 16, an IndiGo Airbus A321 aircraft tail touched the runway while executing a low-altitude go-around due to unfavourable weather conditions in Mumbai,"" IndiGo spokesperson said in a statement",MediaStack,,1,"IndiGo's Bangkok-Mumbai flight suffers tail strike ""On August 16, an IndiGo Airbus A321 aircraft tail touched the runway while executing a low-altitude go-around due to unfavourable weather conditions in Mumbai,"" IndiGo spokesperson said in a statement"
"Kangana Ranaut slams live-in relationships, calls dating app users ‘neech’ and apps ‘gutter of society’",Kangana Ranaut trashes live-in relationships and online dating culture. Read what she said inside.,Kangana Ranaut trashes live-in relationships and online dating culture. Read what she said inside.,MediaStack,,1,"Kangana Ranaut slams live-in relationships, calls dating app users ‘neech’ and apps ‘gutter of society’ Kangana Ranaut trashes live-in relationships and online dating culture. Read what she said inside."
"Gouthu Latchanna’s struggles for the oppressed classes truly inspiring, says Andhra Pradesh Chief Minister Chandrababu Naidu","The veteran freedom fighter and social reformer symbolises the spirit of struggle, efficiency and courage, he says in a post on X","The veteran freedom fighter and social reformer symbolises the spirit of struggle, efficiency and courage, he says in a post on X",MediaStack,,1,"Gouthu Latchanna’s struggles for the oppressed classes truly inspiring, says Andhra Pradesh Chief Minister Chandrababu Naidu The veteran freedom fighter and social reformer symbolises the spirit of struggle, efficiency and courage, he says in a post on X"
Is the new Income Tax law more accessible? | Explained,What are the changes from the Income Tax Act of 1961? What are the implications?,What are the changes from the Income Tax Act of 1961? What are the implications?,MediaStack,,1,Is the new Income Tax law more accessible? | Explained What are the changes from the Income Tax Act of 1961? What are the implications?
West Bengal teacher who lost job after SC verdict dies of ‘stress-induced’ stroke,Mr. Soren had been a prominent figure at the forefront of the agitations and had been present in multiple instances when police clashed with protesting teachers.,Mr. Soren had been a prominent figure at the forefront of the agitations and had been present in multiple instances when police clashed with protesting teachers.,MediaStack,,1,West Bengal teacher who lost job after SC verdict dies of ‘stress-induced’ stroke Mr. Soren had been a prominent figure at the forefront of the agitations and had been present in multiple instances when police clashed with protesting teachers.
"How document deficits may risk disenfranchising the poor, eroding trust in the Election Commission",Economic location is a major factor in terms of document possession; gap extends to entire families — only about one in every 10 poor households said every adult member had a birth certificate,Economic location is a major factor in terms of document possession; gap extends to entire families — only about one in every 10 poor households said every adult member had a birth certificate,MediaStack,,1,"How document deficits may risk disenfranchising the poor, eroding trust in the Election Commission Economic location is a major factor in terms of document possession; gap extends to entire families — only about one in every 10 poor households said every adult member had a birth certificate"
Kolkata Port inaugurates first PPP terminal at Khidderpore Docks,"The concession agreement for the project, signed in 2022 for a 30-year period, is expected to boost cargo movement with integrated connectivity to road, rail and inland waterways","The concession agreement for the project, signed in 2022 for a 30-year period, is expected to boost cargo movement with integrated connectivity to road, rail and inland waterways",MediaStack,,1,"Kolkata Port inaugurates first PPP terminal at Khidderpore Docks The concession agreement for the project, signed in 2022 for a 30-year period, is expected to boost cargo movement with integrated connectivity to road, rail and inland waterways"
DMK MLA Ezhilan Naganathan submits report on State Autonomy in Health and Medical Education to committee,DMK MLA Ezhilan Naganathan submits report on State Autonomy in Health and Medical Education to committee,DMK MLA Ezhilan Naganathan submits report on State Autonomy in Health and Medical Education to committee,MediaStack,,1,DMK MLA Ezhilan Naganathan submits report on State Autonomy in Health and Medical Education to committee DMK MLA Ezhilan Naganathan submits report on State Autonomy in Health and Medical Education to committee
Jeremy Corbyn | The British Left’s second act,The former Labour leader is trying to mobilise left-wing voters under his new party as Labour under Keir Starmer is struggling to maintain public support amid its lacklustre policy towards Gaza’s devastation and a host of other economic and social crises the U.K. is facing,The former Labour leader is trying to mobilise left-wing voters under his new party as Labour under Keir Starmer is struggling to maintain public support amid its lacklustre policy towards Gaza’s devastation and a host of other economic and social crises the U.K. is facing,MediaStack,,1,Jeremy Corbyn | The British Left’s second act The former Labour leader is trying to mobilise left-wing voters under his new party as Labour under Keir Starmer is struggling to maintain public support amid its lacklustre policy towards Gaza’s devastation and a host of other economic and social crises the U.K. is facing
"Bangladesh belongs to all, says army chief General Waker-Uz-Zaman during Janmashtami celebration at Dhaka’s Dhakeshwari temple",Waker-Uz-Zaman said that the army is committed to maintaining the spirit of unity.,Waker-Uz-Zaman said that the army is committed to maintaining the spirit of unity.,MediaStack,,1,"Bangladesh belongs to all, says army chief General Waker-Uz-Zaman during Janmashtami celebration at Dhaka’s Dhakeshwari temple Waker-Uz-Zaman said that the army is committed to maintaining the spirit of unity."
Set up parallel bridges on a war footing: islanders,All-party delegation coordinated by FRAG to meet the Chief Minister with a request for setting up parallel bridges to the first and third Goshree bridges,All-party delegation coordinated by FRAG to meet the Chief Minister with a request for setting up parallel bridges to the first and third Goshree bridges,MediaStack,,1,Set up parallel bridges on a war footing: islanders All-party delegation coordinated by FRAG to meet the Chief Minister with a request for setting up parallel bridges to the first and third Goshree bridges
"DMK is not the AIADMK to be afraid of Enforcement Directorate raids, says CM","Speaking at the CPI State conference, Stalin said the Union government was threatening leaders of Opposition parties; DMK alliance will win in 2026 Assembly poll, defeating all such plots, he said","Speaking at the CPI State conference, Stalin said the Union government was threatening leaders of Opposition parties; DMK alliance will win in 2026 Assembly poll, defeating all such plots, he said",MediaStack,,1,"DMK is not the AIADMK to be afraid of Enforcement Directorate raids, says CM Speaking at the CPI State conference, Stalin said the Union government was threatening leaders of Opposition parties; DMK alliance will win in 2026 Assembly poll, defeating all such plots, he said"
Child’s welfare paramount in custody matters: Delhi HC,Child’s welfare paramount in custody matters: Delhi HC,Child’s welfare paramount in custody matters: Delhi HC,MediaStack,,1,Child’s welfare paramount in custody matters: Delhi HC Child’s welfare paramount in custody matters: Delhi HC
"PM to inaugurate projects worth ₹11,000 crore to boost Delhi’s connectivity today ","PM to inaugurate projects worth ₹11,000 crore to boost Delhi’s connectivity today ","PM to inaugurate projects worth ₹11,000 crore to boost Delhi’s connectivity today ",MediaStack,,1,"PM to inaugurate projects worth ₹11,000 crore to boost Delhi’s connectivity today  PM to inaugurate projects worth ₹11,000 crore to boost Delhi’s connectivity today "
Death toll rises to 7 in dargah wall collapse near Humayun’s Tomb,Death toll rises to 7 in dargah wall collapse near Humayun’s Tomb,Death toll rises to 7 in dargah wall collapse near Humayun’s Tomb,MediaStack,,1,Death toll rises to 7 in dargah wall collapse near Humayun’s Tomb Death toll rises to 7 in dargah wall collapse near Humayun’s Tomb
The Hindu Made of Chennai conducts food trail through Burma Nagar ,The Hindu Made of Chennai conducts food trail through Burma Nagar ,The Hindu Made of Chennai conducts food trail through Burma Nagar ,MediaStack,,1,The Hindu Made of Chennai conducts food trail through Burma Nagar  The Hindu Made of Chennai conducts food trail through Burma Nagar 
Two constables suspended in Arakkonam for the murder of youth,Two constables suspended in Arakkonam for the murder of youth,Two constables suspended in Arakkonam for the murder of youth,MediaStack,,1,Two constables suspended in Arakkonam for the murder of youth Two constables suspended in Arakkonam for the murder of youth
Students should develop strong moral character for successful life: SC Judge,Students should develop strong moral character for successful life: SC Judge,Students should develop strong moral character for successful life: SC Judge,MediaStack,,1,Students should develop strong moral character for successful life: SC Judge Students should develop strong moral character for successful life: SC Judge
Gangster found dead in Delhi’s Mandoli Jail,Gangster found dead in Delhi’s Mandoli Jail,Gangster found dead in Delhi’s Mandoli Jail,MediaStack,,1,Gangster found dead in Delhi’s Mandoli Jail Gangster found dead in Delhi’s Mandoli Jail
Farmers to lay siege to Vidhana Soudha in Bengaluru on August 20,"A ‘satyagraha’ will be held at Freedom Park in Bengaluru, says H. Bhagyaraj, president of the Karnataka State Sugarcane Growers’ Association","A ‘satyagraha’ will be held at Freedom Park in Bengaluru, says H. Bhagyaraj, president of the Karnataka State Sugarcane Growers’ Association",MediaStack,,1,"Farmers to lay siege to Vidhana Soudha in Bengaluru on August 20 A ‘satyagraha’ will be held at Freedom Park in Bengaluru, says H. Bhagyaraj, president of the Karnataka State Sugarcane Growers’ Association"
Thinking Of A Career In Digital Marketing? Here's A Look At Average Freshers Salary - News18,Thinking Of A Career In Digital Marketing? Here's A Look At Average Freshers Salary&nbsp;&nbsp;News18,Thinking Of A Career In Digital Marketing? Here's A Look At Average Freshers Salary&nbsp;&nbsp;News18,MediaStack,,1,Thinking Of A Career In Digital Marketing? Here's A Look At Average Freshers Salary - News18 Thinking Of A Career In Digital Marketing? Here's A Look At Average Freshers Salary&nbsp;&nbsp;News18
"This court drama film received 96 cuts by censor board, got surrounded by controversy, is now streaming on OTT platform, movie is…, lead actors were…","This film, which was released in the previous month of July, censor board not only objected to title of film, but also talked about making 96 cuts.","This film, which was released in the previous month of July, censor board not only objected to title of film, but also talked about making 96 cuts.",MediaStack,,1,"This court drama film received 96 cuts by censor board, got surrounded by controversy, is now streaming on OTT platform, movie is…, lead actors were… This film, which was released in the previous month of July, censor board not only objected to title of film, but also talked about making 96 cuts."
Karnataka Kolhapuri Chappal makers seek PRADA’s support,"‘Most of the production of Kolhapuri chappals happens in Karnataka, while most of the sale happens in Maharashtra. They are named after the city they are sold in, not made in’","‘Most of the production of Kolhapuri chappals happens in Karnataka, while most of the sale happens in Maharashtra. They are named after the city they are sold in, not made in’",MediaStack,,1,"Karnataka Kolhapuri Chappal makers seek PRADA’s support ‘Most of the production of Kolhapuri chappals happens in Karnataka, while most of the sale happens in Maharashtra. They are named after the city they are sold in, not made in’"
Gokulashtami celebrated in Madurai,Gokulashtami celebrated in Madurai,Gokulashtami celebrated in Madurai,MediaStack,,1,Gokulashtami celebrated in Madurai Gokulashtami celebrated in Madurai
"SBI Hikes Home Loan Rates By 25 Bps: EMIs To Get Costlier For New Borrowers, Check New Rates - News18","SBI Hikes Home Loan Rates By 25 Bps: EMIs To Get Costlier For New Borrowers, Check New Rates&nbsp;&nbsp;News18SBI home loan: State Bank of India raises home loan interest rates by 25 basis points. Check new rates here&nbsp;&nbsp;MintSBI, Bank of Baroda and Indian Overseas Bank reduce MCLR&nbsp;&nbsp;The Indian ExpressSBI, Indian Overseas Bank cut MCLR across tenures&nbsp;&nbsp;financialexpress.comSBI home loan rates increase: What it means for new borrowers, EMIs&nbsp;&nbsp;Mathrubhumi English","SBI Hikes Home Loan Rates By 25 Bps: EMIs To Get Costlier For New Borrowers, Check New Rates&nbsp;&nbsp;News18SBI home loan: State Bank of India raises home loan interest rates by 25 basis points. Check new rates here&nbsp;&nbsp;MintSBI, Bank of Baroda and Indian Overseas Bank reduce MCLR&nbsp;&nbsp;The Indian ExpressSBI, Indian Overseas Bank cut MCLR across tenures&nbsp;&nbsp;financialexpress.comSBI home loan rates increase: What it means for new borrowers, EMIs&nbsp;&nbsp;Mathrubhumi English",MediaStack,,1,"SBI Hikes Home Loan Rates By 25 Bps: EMIs To Get Costlier For New Borrowers, Check New Rates - News18 SBI Hikes Home Loan Rates By 25 Bps: EMIs To Get Costlier For New Borrowers, Check New Rates&nbsp;&nbsp;News18SBI home loan: State Bank of India raises home loan interest rates by 25 basis points. Check new rates here&nbsp;&nbsp;MintSBI, Bank of Baroda and Indian Overseas Bank reduce MCLR&nbsp;&nbsp;The Indian ExpressSBI, Indian Overseas Bank cut MCLR across tenures&nbsp;&nbsp;financialexpress.comSBI home loan rates increase: What it means for new borrowers, EMIs&nbsp;&nbsp;Mathrubhumi English"
Expert committee to be formed to formulate plan of action for modernising Amaravathi Cooperative Sugar Mill,Expert committee to be formed to formulate plan of action for modernising Amaravathi Cooperative Sugar Mill,Expert committee to be formed to formulate plan of action for modernising Amaravathi Cooperative Sugar Mill,MediaStack,,1,Expert committee to be formed to formulate plan of action for modernising Amaravathi Cooperative Sugar Mill Expert committee to be formed to formulate plan of action for modernising Amaravathi Cooperative Sugar Mill
Chittayam Gopakumar elected CPI Pathanamthitta district secretary,Chittayam Gopakumar elected CPI Pathanamthitta district secretary,Chittayam Gopakumar elected CPI Pathanamthitta district secretary,MediaStack,,1,Chittayam Gopakumar elected CPI Pathanamthitta district secretary Chittayam Gopakumar elected CPI Pathanamthitta district secretary
"Centre should not have asked President to issue Reference, says Kerala",Kerala agreed with T.N.’s stand that the April 8 judgment on prescribing timelines for the President and Governors had comprehensively dealt with every single question of law raised in the Presidential Reference,Kerala agreed with T.N.’s stand that the April 8 judgment on prescribing timelines for the President and Governors had comprehensively dealt with every single question of law raised in the Presidential Reference,MediaStack,,1,"Centre should not have asked President to issue Reference, says Kerala Kerala agreed with T.N.’s stand that the April 8 judgment on prescribing timelines for the President and Governors had comprehensively dealt with every single question of law raised in the Presidential Reference"
Manipur Governor Ajay Kumar Bhalla to hold additional charge of Nagaland,Mr. Bhalla has been given the additional charge in the wake of the demise of Nagaland Governor La. Ganesan on August 15,Mr. Bhalla has been given the additional charge in the wake of the demise of Nagaland Governor La. Ganesan on August 15,MediaStack,,1,Manipur Governor Ajay Kumar Bhalla to hold additional charge of Nagaland Mr. Bhalla has been given the additional charge in the wake of the demise of Nagaland Governor La. Ganesan on August 15
"From Tehran to Andhera, watch these horror to thriller movies and series on OTT that will leave you speechless, streaming on…","Two big films hit theatres this week, but if you finish them in 6 hours, there’s still plenty to watch at home. From thrillers to horror, new OTT releases promise gripping long weekend with family.","Two big films hit theatres this week, but if you finish them in 6 hours, there’s still plenty to watch at home. From thrillers to horror, new OTT releases promise gripping long weekend with family.",MediaStack,,1,"From Tehran to Andhera, watch these horror to thriller movies and series on OTT that will leave you speechless, streaming on… Two big films hit theatres this week, but if you finish them in 6 hours, there’s still plenty to watch at home. From thrillers to horror, new OTT releases promise gripping long weekend with family."
Hotel told to pay compensation,Hotel told to pay compensation,Hotel told to pay compensation,MediaStack,,1,Hotel told to pay compensation Hotel told to pay compensation
Jharkhand lifts night shift ban for women,The entire responsibility of the safety and security of women employees will be of the concerned company and its management; the consent of the women employees who will be made to work in night shift is also mandatory,The entire responsibility of the safety and security of women employees will be of the concerned company and its management; the consent of the women employees who will be made to work in night shift is also mandatory,MediaStack,,1,Jharkhand lifts night shift ban for women The entire responsibility of the safety and security of women employees will be of the concerned company and its management; the consent of the women employees who will be made to work in night shift is also mandatory
"Govt. sanctions ₹54 crore for VETRI Palligal to prepare students for JEE, NEET","According to a government order, VETRI Palligal in every block would help Class 11 and 12 students get into premier higher education institutions","According to a government order, VETRI Palligal in every block would help Class 11 and 12 students get into premier higher education institutions",MediaStack,,1,"Govt. sanctions ₹54 crore for VETRI Palligal to prepare students for JEE, NEET According to a government order, VETRI Palligal in every block would help Class 11 and 12 students get into premier higher education institutions"
Rashtrapati Bhavan responds to SOS email by parents of R.G. Kar victim,"Email response directs the victim’s parents to liaise with the President’s aide; they had reached out to Rashtrapati Bhavan thrice since their daughter’s death, but to no avail","Email response directs the victim’s parents to liaise with the President’s aide; they had reached out to Rashtrapati Bhavan thrice since their daughter’s death, but to no avail",MediaStack,,1,"Rashtrapati Bhavan responds to SOS email by parents of R.G. Kar victim Email response directs the victim’s parents to liaise with the President’s aide; they had reached out to Rashtrapati Bhavan thrice since their daughter’s death, but to no avail"
Non closure of railway gate; driver alerts gatekeeper on Rameswaram-Madurai stretch,Non closure of railway gate; driver alerts gatekeeper on Rameswaram-Madurai stretch,Non closure of railway gate; driver alerts gatekeeper on Rameswaram-Madurai stretch,MediaStack,,1,Non closure of railway gate; driver alerts gatekeeper on Rameswaram-Madurai stretch Non closure of railway gate; driver alerts gatekeeper on Rameswaram-Madurai stretch
Neelam Social releases documentary on conservancy workers’ protests,"Founded by filmmaker Pa. Ranjith, Neelam Cultural Centre’s YouTube channel especially focusses on social and political issues faced by the marginalised sections of the in society","Founded by filmmaker Pa. Ranjith, Neelam Cultural Centre’s YouTube channel especially focusses on social and political issues faced by the marginalised sections of the in society",MediaStack,,1,"Neelam Social releases documentary on conservancy workers’ protests Founded by filmmaker Pa. Ranjith, Neelam Cultural Centre’s YouTube channel especially focusses on social and political issues faced by the marginalised sections of the in society"
Over 8.87 lakh women avail of A.P. govt.’s free bus ride scheme on Day 2,Over 8.87 lakh women avail of A.P. govt.’s free bus ride scheme on Day 2,Over 8.87 lakh women avail of A.P. govt.’s free bus ride scheme on Day 2,MediaStack,,1,Over 8.87 lakh women avail of A.P. govt.’s free bus ride scheme on Day 2 Over 8.87 lakh women avail of A.P. govt.’s free bus ride scheme on Day 2
"Cover stormwater drains; plug grey water inlets; and provide trash bins on every street, Zamin Pallavaram resident’s plea to Tambaram Municipal Corporation",Durva Rajaratnam of Bharathi Nagar Third Street underlines the urgent need for the civic body to put in place systems that would ensure stormwater drains are not misused and give residents greater control in terms of waste management,Durva Rajaratnam of Bharathi Nagar Third Street underlines the urgent need for the civic body to put in place systems that would ensure stormwater drains are not misused and give residents greater control in terms of waste management,MediaStack,,1,"Cover stormwater drains; plug grey water inlets; and provide trash bins on every street, Zamin Pallavaram resident’s plea to Tambaram Municipal Corporation Durva Rajaratnam of Bharathi Nagar Third Street underlines the urgent need for the civic body to put in place systems that would ensure stormwater drains are not misused and give residents greater control in terms of waste management"
Veteran epigraphist honoured with Tamil Wiki Thooran Award in Erode,Veteran epigraphist honoured with Tamil Wiki Thooran Award in Erode,Veteran epigraphist honoured with Tamil Wiki Thooran Award in Erode,MediaStack,,1,Veteran epigraphist honoured with Tamil Wiki Thooran Award in Erode Veteran epigraphist honoured with Tamil Wiki Thooran Award in Erode
"Double standards of Centre and State govt. exposed one more time, alleges KTR","Double standards of Centre and State govt. exposed one more time, alleges KTR","Double standards of Centre and State govt. exposed one more time, alleges KTR",MediaStack,,1,"Double standards of Centre and State govt. exposed one more time, alleges KTR Double standards of Centre and State govt. exposed one more time, alleges KTR"
No foreign voters in Bihar SIR list; Modi brings divisive agenda: CPI(ML),"Countering PM Narendra Modi’s statement on Independence Day that illegal immigration is threatening the country’s demography, CPI(ML) general secretary Dipankar Bhattacharya says the SIR exercise in Bihar did not bring out a single case of illegal immigrants in the State","Countering PM Narendra Modi’s statement on Independence Day that illegal immigration is threatening the country’s demography, CPI(ML) general secretary Dipankar Bhattacharya says the SIR exercise in Bihar did not bring out a single case of illegal immigrants in the State",MediaStack,,1,"No foreign voters in Bihar SIR list; Modi brings divisive agenda: CPI(ML) Countering PM Narendra Modi’s statement on Independence Day that illegal immigration is threatening the country’s demography, CPI(ML) general secretary Dipankar Bhattacharya says the SIR exercise in Bihar did not bring out a single case of illegal immigrants in the State"
Efforts under way to clear Puckle canal in Thoothukudi,Efforts under way to clear Puckle canal in Thoothukudi,Efforts under way to clear Puckle canal in Thoothukudi,MediaStack,,1,Efforts under way to clear Puckle canal in Thoothukudi Efforts under way to clear Puckle canal in Thoothukudi
Transgender housing scheme to be launched in Kerala this week,₹50 lakh sanctioned for first phase; beneficiaries to be selected on priority basis,₹50 lakh sanctioned for first phase; beneficiaries to be selected on priority basis,MediaStack,,1,Transgender housing scheme to be launched in Kerala this week ₹50 lakh sanctioned for first phase; beneficiaries to be selected on priority basis
Man washed away in swollen Kaddam River,Man washed away in swollen Kaddam River,Man washed away in swollen Kaddam River,MediaStack,,1,Man washed away in swollen Kaddam River Man washed away in swollen Kaddam River
Two mechanised boats attacked; over ₹35 lakh-worth seer fish stolen,Two mechanised boats attacked; over ₹35 lakh-worth seer fish stolen,Two mechanised boats attacked; over ₹35 lakh-worth seer fish stolen,MediaStack,,1,Two mechanised boats attacked; over ₹35 lakh-worth seer fish stolen Two mechanised boats attacked; over ₹35 lakh-worth seer fish stolen
U.S. stops visitor visas for people from Gaza,"The U.S. issued more than 3,800 B1/B2 visitor visas, which permit foreigners to seek medical treatment in the United States, to holders of the Palestinian Authority travel document","The U.S. issued more than 3,800 B1/B2 visitor visas, which permit foreigners to seek medical treatment in the United States, to holders of the Palestinian Authority travel document",MediaStack,,1,"U.S. stops visitor visas for people from Gaza The U.S. issued more than 3,800 B1/B2 visitor visas, which permit foreigners to seek medical treatment in the United States, to holders of the Palestinian Authority travel document"
Red alert issued for Udupi and Uttara Kannada districts on Aug. 18 and 19,"Dakshina Kannada received 38 mm rainfall during a 24-hour period, which ended on Saturday at 8.30 a.m., against the normal 31 mm","Dakshina Kannada received 38 mm rainfall during a 24-hour period, which ended on Saturday at 8.30 a.m., against the normal 31 mm",MediaStack,,1,"Red alert issued for Udupi and Uttara Kannada districts on Aug. 18 and 19 Dakshina Kannada received 38 mm rainfall during a 24-hour period, which ended on Saturday at 8.30 a.m., against the normal 31 mm"
Monthly premium for Phase 2 of Medisep enhanced to ₹750,Government issues order approving Phase 2 of Medisep which offers an enhanced basic coverage of ₹5 lakh. The scheme has been revamped as per the recommendations of an expert committee,Government issues order approving Phase 2 of Medisep which offers an enhanced basic coverage of ₹5 lakh. The scheme has been revamped as per the recommendations of an expert committee,MediaStack,,1,Monthly premium for Phase 2 of Medisep enhanced to ₹750 Government issues order approving Phase 2 of Medisep which offers an enhanced basic coverage of ₹5 lakh. The scheme has been revamped as per the recommendations of an expert committee
Vadavannur’s dual tribute to freedom and legacy,Vadavannur’s dual tribute to freedom and legacy,Vadavannur’s dual tribute to freedom and legacy,MediaStack,,1,Vadavannur’s dual tribute to freedom and legacy Vadavannur’s dual tribute to freedom and legacy
Blood bank infra upgraded,Blood bank infra upgraded,Blood bank infra upgraded,MediaStack,,1,Blood bank infra upgraded Blood bank infra upgraded
Gold chain stolen from elderly woman at Mookambika temple in Kollur,Gold chain stolen from elderly woman at Mookambika temple in Kollur,Gold chain stolen from elderly woman at Mookambika temple in Kollur,MediaStack,,1,Gold chain stolen from elderly woman at Mookambika temple in Kollur Gold chain stolen from elderly woman at Mookambika temple in Kollur
Seems some parties did not examine voters' lists at appropriate time to flag errors: Election Commission of India,"The appropriate time, it said, to raise any issue with the electoral rolls would have been during the “Claims and Objections” period","The appropriate time, it said, to raise any issue with the electoral rolls would have been during the “Claims and Objections” period",MediaStack,,1,"Seems some parties did not examine voters' lists at appropriate time to flag errors: Election Commission of India The appropriate time, it said, to raise any issue with the electoral rolls would have been during the “Claims and Objections” period"
"Real Telangana activists never claim titles, says Chief Minister","Real Telangana activists never claim titles, says Chief Minister","Real Telangana activists never claim titles, says Chief Minister",MediaStack,,1,"Real Telangana activists never claim titles, says Chief Minister Real Telangana activists never claim titles, says Chief Minister"
Not Virat Kohli & Sourav Ganguly! These 5 Indians Have Won Asia Cup As Captain - News18,"Not Virat Kohli & Sourav Ganguly! These 5 Indians Have Won Asia Cup As Captain&nbsp;&nbsp;News18Top 5 most successful captains in Asia Cup history&nbsp;&nbsp;India Today5 Indian cricketers who won the Asia Cup as captain&nbsp;&nbsp;CricTrackerFrom MS Dhoni to Moin Khan: Top 5 most successful captains in Asia Cup history&nbsp;&nbsp;DNA IndiaFrom MS Dhoni To Moin Khan, A Look At Top 5 Most Succesful Captains In Asia Cup History&nbsp;&nbsp;The Daily Jagran","Not Virat Kohli & Sourav Ganguly! These 5 Indians Have Won Asia Cup As Captain&nbsp;&nbsp;News18Top 5 most successful captains in Asia Cup history&nbsp;&nbsp;India Today5 Indian cricketers who won the Asia Cup as captain&nbsp;&nbsp;CricTrackerFrom MS Dhoni to Moin Khan: Top 5 most successful captains in Asia Cup history&nbsp;&nbsp;DNA IndiaFrom MS Dhoni To Moin Khan, A Look At Top 5 Most Succesful Captains In Asia Cup History&nbsp;&nbsp;The Daily Jagran",MediaStack,,1,"Not Virat Kohli & Sourav Ganguly! These 5 Indians Have Won Asia Cup As Captain - News18 Not Virat Kohli & Sourav Ganguly! These 5 Indians Have Won Asia Cup As Captain&nbsp;&nbsp;News18Top 5 most successful captains in Asia Cup history&nbsp;&nbsp;India Today5 Indian cricketers who won the Asia Cup as captain&nbsp;&nbsp;CricTrackerFrom MS Dhoni to Moin Khan: Top 5 most successful captains in Asia Cup history&nbsp;&nbsp;DNA IndiaFrom MS Dhoni To Moin Khan, A Look At Top 5 Most Succesful Captains In Asia Cup History&nbsp;&nbsp;The Daily Jagran"
150 new bridges constructed in four-and-a-half years: Minister,150 new bridges constructed in four-and-a-half years: Minister,150 new bridges constructed in four-and-a-half years: Minister,MediaStack,,1,150 new bridges constructed in four-and-a-half years: Minister 150 new bridges constructed in four-and-a-half years: Minister
"Pinarayi should relinquish Home portfolio, says Chennithala",Congress leader weighs in on the adverse judicial remarks against his office in a corruption case,Congress leader weighs in on the adverse judicial remarks against his office in a corruption case,MediaStack,,1,"Pinarayi should relinquish Home portfolio, says Chennithala Congress leader weighs in on the adverse judicial remarks against his office in a corruption case"
"BRS flays State, Centre for urea crisis in Telangana","BRS flays State, Centre for urea crisis in Telangana","BRS flays State, Centre for urea crisis in Telangana",MediaStack,,1,"BRS flays State, Centre for urea crisis in Telangana BRS flays State, Centre for urea crisis in Telangana"
